time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20000101:0000,7.000,84,0.000,0.000,0.000,0.000,14.100,276,1024.100
20000101:0100,6.800,85,0.000,0.000,0.000,0.000,13.700,275,1024.200
20000101:0200,6.500,87,0.000,0.000,0.000,0.000,14.100,274,1023.800
20000101:0300,6.600,86,0.000,0.000,0.000,0.000,14.600,279,1023.400
20000101:0400,6.700,86,0.000,0.000,0.000,0.000,14.400,283,1023.600
20000101:0500,6.600,86,0.000,0.000,0.000,0.000,12.900,283,1023.200
20000101:0600,6.500,87,0.000,0.000,0.000,0.000,11.000,281,1023.300
20000101:0700,6.800,85,7.000,0.000,0.000,41.800,10.600,280,1023.700
20000101:0800,7.700,81,87.000,0.000,0.000,221.700,10.400,284,1024.100
20000101:0900,8.900,78,200.000,0.000,0.000,430.900,10.500,297,1024.200
20000101:1000,9.800,73,294.000,0.000,0.000,588.200,12.000,309,1024.300
20000101:1100,10.300,73,312.000,0.000,0.000,683.000,10.400,326,1024.500
20000101:1200,10.700,74,354.000,0.000,0.000,708.600,9.900,341,1023.600
20000101:1300,10.900,74,369.000,0.000,0.000,663.500,10.800,356,1023.500
20000101:1400,10.500,75,288.000,0.000,0.000,550.600,12.100,12,1023.100
20000101:1500,10.100,75,179.000,0.000,0.000,377.700,11.700,18,1023.200
20000101:1600,9.400,78,53.000,0.000,0.000,156.500,10.200,18,1023.500
20000101:1700,8.700,79,0.000,0.000,0.000,6.600,9.800,17,1023.800
20000101:1800,8.300,80,0.000,0.000,0.000,0.000,10.200,10,1024.400
20000101:1900,8.200,82,0.000,0.000,0.000,0.000,10.400,2,1024.700
20000101:2000,8.000,82,0.000,0.000,0.000,0.000,10.500,356,1025.200
20000101:2100,7.500,83,0.000,0.000,0.000,0.000,10.700,346,1025.200
20000101:2200,7.100,84,0.000,0.000,0.000,0.000,11.200,345,1025.300
20000101:2300,6.900,84,0.000,0.000,0.000,0.000,12.000,344,1025.600
20000102:0000,6.900,84,0.000,0.000,0.000,0.000,11.700,342,1025.300
20000102:0100,6.900,83,0.000,0.000,0.000,0.000,11.300,338,1025.300
20000102:0200,6.800,83,0.000,0.000,0.000,0.000,11.300,333,1025.200
20000102:0300,6.500,83,0.000,0.000,0.000,0.000,12.100,333,1025.000
20000102:0400,6.200,84,0.000,0.000,0.000,0.000,12.400,334,1024.800
20000102:0500,6.200,84,0.000,0.000,0.000,0.000,12.200,336,1024.800
20000102:0600,6.200,84,0.000,0.000,0.000,0.000,12.200,336,1025.300
20000102:0700,6.600,82,7.000,0.000,0.000,41.600,11.900,331,1025.500
